product_id,name,category,brand,description,price
1,Samsung Smartphone Pro,Smartphone,Samsung,"Samsung Smartphone Pro is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",34333.07
2,Samsung Smartphone Max,Smartphone,Samsung,"Samsung Smartphone Max is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",85612.57
3,Samsung Smartphone Ultra,Smartphone,Samsung,"Samsung Smartphone Ultra is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",66146.46
4,Samsung Smartphone Lite,Smartphone,Samsung,"Samsung Smartphone Lite is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",54279.61
5,Samsung Smartphone Plus,Smartphone,Samsung,"Samsung Smartphone Plus is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",14884.66
6,Samsung Smartphone Air,Smartphone,Samsung,"Samsung Smartphone Air is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",14882.51
7,Samsung Smartphone Neo,Smartphone,Samsung,"Samsung Smartphone Neo is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",6168.44
8,Samsung Smartphone Edge,Smartphone,Samsung,"Samsung Smartphone Edge is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",78088.68
9,Samsung Smartphone X,Smartphone,Samsung,"Samsung Smartphone X is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",54498.24
10,Samsung Smartphone 2024,Smartphone,Samsung,"Samsung Smartphone 2024 is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",64017.46
11,Apple Smartphone Pro,Smartphone,Apple,"Apple Smartphone Pro is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",2831.02
12,Apple Smartphone Max,Smartphone,Apple,"Apple Smartphone Max is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",87320.98
13,Apple Smartphone Ultra,Smartphone,Apple,"Apple Smartphone Ultra is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",75086.4
14,Apple Smartphone Lite,Smartphone,Apple,"Apple Smartphone Lite is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",19897.18
15,Apple Smartphone Plus,Smartphone,Apple,"Apple Smartphone Plus is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",17181.42
16,Apple Smartphone Air,Smartphone,Apple,"Apple Smartphone Air is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",17322.0
17,Apple Smartphone Neo,Smartphone,Apple,"Apple Smartphone Neo is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",28076.56
18,Apple Smartphone Edge,Smartphone,Apple,"Apple Smartphone Edge is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",47702.32
19,Apple Smartphone X,Smartphone,Apple,"Apple Smartphone X is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",39442.11
20,Apple Smartphone 2024,Smartphone,Apple,"Apple Smartphone 2024 is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",26918.39
21,OnePlus Smartphone Pro,Smartphone,OnePlus,"OnePlus Smartphone Pro is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",55453.91
22,OnePlus Smartphone Max,Smartphone,OnePlus,"OnePlus Smartphone Max is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",13413.95
23,OnePlus Smartphone Ultra,Smartphone,OnePlus,"OnePlus Smartphone Ultra is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",26999.87
24,OnePlus Smartphone Lite,Smartphone,OnePlus,"OnePlus Smartphone Lite is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",33605.2
25,OnePlus Smartphone Plus,Smartphone,OnePlus,"OnePlus Smartphone Plus is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",41589.23
26,OnePlus Smartphone Air,Smartphone,OnePlus,"OnePlus Smartphone Air is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",70879.66
27,OnePlus Smartphone Neo,Smartphone,OnePlus,"OnePlus Smartphone Neo is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",18769.97
28,OnePlus Smartphone Edge,Smartphone,OnePlus,"OnePlus Smartphone Edge is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",46765.87
29,OnePlus Smartphone X,Smartphone,OnePlus,"OnePlus Smartphone X is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",53723.9
30,OnePlus Smartphone 2024,Smartphone,OnePlus,"OnePlus Smartphone 2024 is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",5133.09
31,Xiaomi Smartphone Pro,Smartphone,Xiaomi,"Xiaomi Smartphone Pro is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",55070.49
32,Xiaomi Smartphone Max,Smartphone,Xiaomi,"Xiaomi Smartphone Max is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",16175.65
33,Xiaomi Smartphone Ultra,Smartphone,Xiaomi,"Xiaomi Smartphone Ultra is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",6788.59
34,Xiaomi Smartphone Lite,Smartphone,Xiaomi,"Xiaomi Smartphone Lite is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",85449.81
35,Xiaomi Smartphone Plus,Smartphone,Xiaomi,"Xiaomi Smartphone Plus is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",86940.25
36,Xiaomi Smartphone Air,Smartphone,Xiaomi,"Xiaomi Smartphone Air is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",72946.36
37,Xiaomi Smartphone Neo,Smartphone,Xiaomi,"Xiaomi Smartphone Neo is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",28109.63
38,Xiaomi Smartphone Edge,Smartphone,Xiaomi,"Xiaomi Smartphone Edge is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",9691.82
39,Xiaomi Smartphone X,Smartphone,Xiaomi,"Xiaomi Smartphone X is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",61895.74
40,Xiaomi Smartphone 2024,Smartphone,Xiaomi,"Xiaomi Smartphone 2024 is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",40172.57
41,Realme Smartphone Pro,Smartphone,Realme,"Realme Smartphone Pro is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",11860.4
42,Realme Smartphone Max,Smartphone,Realme,"Realme Smartphone Max is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",45069.74
43,Realme Smartphone Ultra,Smartphone,Realme,"Realme Smartphone Ultra is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",4059.58
44,Realme Smartphone Lite,Smartphone,Realme,"Realme Smartphone Lite is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",81928.52
45,Realme Smartphone Plus,Smartphone,Realme,"Realme Smartphone Plus is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",24030.42
46,Realme Smartphone Air,Smartphone,Realme,"Realme Smartphone Air is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",59963.48
47,Realme Smartphone Neo,Smartphone,Realme,"Realme Smartphone Neo is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",28741.29
48,Realme Smartphone Edge,Smartphone,Realme,"Realme Smartphone Edge is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",47285.05
49,Realme Smartphone X,Smartphone,Realme,"Realme Smartphone X is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",49656.21
50,Realme Smartphone 2024,Smartphone,Realme,"Realme Smartphone 2024 is a smartphone known for great performance, build quality and value for money. Ideal for daily use, smartphone lovers, and tech enthusiasts.",17451.05
51,Dell Laptop Pro,Laptop,Dell,"Dell Laptop Pro is a laptop known for great performance, build quality and value for money. Ideal for daily use, laptop lovers, and tech enthusiasts.",87292.03
52,Dell Laptop Max,Laptop,Dell,"Dell Laptop Max is a laptop known for great performance, build quality and value for money. Ideal for daily use, laptop lovers, and tech enthusiasts.",69985.82
53,Dell Laptop Ultra,Laptop,Dell,"Dell Laptop Ultra is a laptop known for great performance, build quality and value for money. Ideal for daily use, laptop lovers, and tech enthusiasts.",84614.41
